Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-01-18 17:25:25,false,"Phoenix Running","1.56","194","00:17:21","138","150","2.5","151","159","11:07","10:07","38","31","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","06:11.12.7","2","0.0","--","--","--","--","--","--","--","00:17:21","00:17:21","1,406","1,435"
Running,2022-01-17 17:53:13,false,"Phoenix Running","4.22","513","00:49:44","141","179","3.5","141","241","11:47","4:41","140","138","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","00:40.00","15","0.0","--","--","--","--","--","--","--","00:49:43","00:53:45","1,404","1,444"
Hiking,2022-01-16 10:41:21,false,"Phoenix Hiking","5.20","654","02:10:34","105","155","2.6","89","207","25:07","14:14","864","859","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:00.92.2","3","0.0","--","--","--","--","--","--","--","01:58:01","02:10:35","1,419","2,106"
Running,2022-01-14 17:27:57,false,"Phoenix Running","4.20","520","00:43:21","149","171","4.0","152","166","10:19","8:23","102","112","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","00:21.12.5","6","0.0","--","--","--","--","--","--","--","00:43:11","00:44:00","1,387","1,435"
Running,2022-01-10 17:21:19,false,"Phoenix Running","1.83","221","00:21:18","135","146","2.5","151","161","11:38","10:09","48","46","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","09:38.58","2","0.0","--","--","--","--","--","--","--","00:21:17","00:21:18","1,398","1,437"
Trail Running,2022-01-08 16:38:14,false,"Phoenix Trail Running","4.90","661","01:04:00","146","164","3.3","139","241","13:04","7:39","629","629","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","02:11.96.4","6","0.0","--","--","--","--","--","--","--","01:02:12","01:17:01","1,715","2,148"
Running,2022-01-05 18:55:11,false,"Phoenix Running","0.24","28","00:02:42.5","134","144","0.7","147","159","11:27","10:23","7","--","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","02:42.49.4","1","0.0","--","--","--","--","--","--","--","00:02:26","00:02:42.5","1,415","1,424"
Breathwork,2022-01-05 18:39:31,false,"Relax and Focus (Short)","0.00","--","00:00:44.9","96","97","0.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:02.87.7","5","0.0","4","4","4","1","90","91","90","00:00:00","00:00:45.6","--","--"
Running,2022-01-05 18:00:59,false,"Phoenix Running","3.38","428","00:35:07","154","175","3.9","153","181","10:24","8:06","100","79","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:07.25.6","5","0.0","--","--","--","--","--","--","--","00:35:06","00:35:07","1,400","1,439"
Running,2022-01-03 17:22:40,false,"Phoenix Running","2.52","311","00:28:44","135","147","2.9","153","161","11:25","10:34","53","59","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","05:53.06.1","3","0.0","--","--","--","--","--","--","--","00:28:44","00:28:44","1,396","1,433"
Running,2021-12-31 09:46:17,false,"Phoenix Running","3.87","479","00:40:06","152","169","3.9","153","172","10:22","7:45","105","110","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","00:00.72.5","7","0.0","--","--","--","--","--","--","--","00:39:53","00:40:07","1,396","1,436"
Running,2021-12-29 08:55:11,false,"Phoenix Running","1.46","176","00:16:44","132","144","2.4","152","160","11:29","10:48","34","39","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","05:09.28.6","2","0.0","--","--","--","--","--","--","--","00:16:44","00:16:44","1,407","1,438"
Running,2021-12-28 17:34:00,false,"Phoenix Running","4.93","608","00:54:12","148","166","3.8","153","180","11:00","9:33","113","99","0.96","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","00:12.02.2","6","0.0","--","--","--","--","--","--","--","00:54:06","00:55:32","1,402","1,442"
Running,2021-12-26 16:25:22,false,"Phoenix Running","1.58","199","00:18:10","140","157","2.6","147","209","11:28","10:32","54","48","0.95","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","06:59.42","2","0.0","15","15","15","--","--","--","--","00:17:44","00:18:10","1,404","1,438"
Running,2021-12-23 09:10:33,false,"Phoenix Running","4.16","547","00:53:06","140","164","3.3","152","219","12:46","9:27","52","56","0.83","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:54.53.5","5","0.0","--","--","--","--","--","--","--","00:49:14","00:53:06","1,401","1,437"
Hiking,2021-12-17 13:46:20,false,"Pinal County Hiking","3.85","726","02:24:13","108","152","2.2","109","160","37:31","18:04","815","810","0.39","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","27:32.70.3","4","0.0","--","--","--","--","--","--","--","01:51:23","02:24:13","2,304","3,140"
Hiking,2021-12-12 11:48:37,false,"Pinal County Hiking","6.16","1,301","04:01:45","113","176","2.0","112","240","39:13","3:10","1,819","1,807","0.37","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:38.19.1","7","0.0","--","--","--","--","--","--","--","03:05:59","04:01:45","2,320","3,804"
Running,2021-12-07 17:44:20,false,"Phoenix Running","3.59","467","00:41:04","146","179","3.8","151","163","11:27","7:39","46","50","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:48.41.1","4","0.0","--","--","--","--","--","--","--","00:38:24","00:41:04","1,401","1,434"
Running,2021-12-05 17:02:56,false,"Phoenix Running","3.14","387","00:34:26","144","165","3.5","151","240","10:57","6:47","101","34","0.97","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:32.39.3","4","0.0","--","--","--","--","--","--","--","00:34:23","00:34:26","1,357","1,433"
Pool Swimming,2021-12-02 18:35:20,false,"Pool Swimming","1,825","393","00:43:21","146","179","3.5","0","0","2:02","1:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","670","42","21","0","--","0:00","0.0","0:00","No","00:10.81.7","12","0.0","--","--","--","--","--","--","--","00:37:13","00:43:34","--","--"
Strength Training,2021-11-27 16:16:58,false,"Strength","0.00","529","02:03:41","97","149","1.7","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:03:40.51.5","1","0.0","--","--","--","--","--","--","--","00:00:00","02:03:41","--","--"
Pool Swimming,2021-11-26 18:25:21,false,"Pool Swimming","1,400","283","00:34:42","142","183","3.2","0","0","2:03","1:31","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","548","42","21","0","--","0:00","0.0","0:00","No","00:04.71.9","9","0.0","--","--","--","--","--","--","--","00:28:49","00:34:58","--","--"
Running,2021-11-24 17:12:02,false,"Phoenix Running","1.62","202","00:18:46","137","158","2.6","149","158","11:36","10:32","12","15","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:20.50.1","2","0.0","--","--","--","--","--","--","--","00:18:46","00:18:46","1,412","1,432"
Running,2021-11-15 17:15:30,false,"Phoenix Running","1.81","219","00:21:16","134","149","2.4","149","154","11:45","10:51","10","15","0.92","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:41.69.8","2","0.0","--","--","--","--","--","--","--","00:21:07","00:21:16","1,407","1,431"
Running,2021-11-08 17:14:36,false,"Phoenix Running","2.83","345","00:32:19","139","177","3.0","150","163","11:25","3:28","41","34","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:27.00.4","3","0.0","--","--","--","--","--","--","--","00:32:19","00:32:19","1,401","1,434"
Other,2021-11-06 09:00:17,false,"Phoenix Walk","3.01","266","01:03:16","96","123","1.2","103","128","2.9","4.0","39","36","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.48.2","4","0.0","--","--","--","--","--","--","--","01:00:49","01:03:16","1,401","1,433"
Pool Swimming,2021-11-05 19:24:11,false,"Pool Swimming","1,650","336","00:39:00","146","164","3.3","0","0","1:59","1:32","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","620","40","22","0","--","0:00","0.0","0:00","No","00:14.79.5","10","0.0","--","--","--","--","--","--","--","00:32:37","00:39:34","--","--"
Running,2021-11-03 17:14:48,false,"Phoenix Running","4.28","548","00:48:45","147","183","3.7","152","180","11:23","8:03","47","50","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:04.74.8","5","0.0","--","--","--","--","--","--","--","00:47:28","00:48:45","1,401","1,437"
Running,2021-10-30 17:15:40,false,"Phoenix Running","3.43","434","00:44:58","136","161","3.2","149","250","13:07","6:36","43","30","0.82","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:11.38.1","4","0.0","--","--","--","--","--","--","--","00:40:46","00:44:58","1,408","1,434"
Running,2021-10-26 07:24:50,false,"Phoenix Running","4.22","692","01:00:32","156","188","4.3","140","249","14:21","7:56","779","800","0.79","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:03.19.7","5","0.0","--","--","--","--","--","--","--","00:57:13","01:00:32","1,367","2,058"
Pool Swimming,2021-10-24 15:31:22,false,"Pool Swimming","1,525","300","00:37:16","141","164","3.2","0","0","2:06","1:40","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","675","43","21","0","--","0:00","0.0","0:00","No","00:09.60.4","11","0.0","--","--","--","--","--","--","--","00:31:59","00:38:37","--","--"
Strength Training,2021-10-23 19:19:37,false,"Strength","0.00","139","00:48:52","101","112","1.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","48:51.94","1","0.0","--","--","--","--","--","--","--","00:00:00","00:48:52","--","--"
Running,2021-10-21 17:33:34,false,"Phoenix Running","4.30","573","00:52:37","143","180","3.6","151","240","12:14","10:29","49","56","0.87","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:31.16.4","5","0.0","--","--","--","--","--","--","--","00:51:24","00:52:37","1,401","1,437"
Strength Training,2021-10-20 19:23:35,false,"Strength","0.00","335","00:49:50","114","162","2.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:30.47","4","0.0","--","--","--","--","--","--","--","00:00:00","00:49:50","--","--"
Hiking,2021-10-18 13:44:34,false,"Yavapai County Hiking","5.60","773","03:13:10","95","147","1.4","100","160","34:31","17:51","686","692","0.47","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","16:04.10.9","6","0.0","--","--","--","--","--","--","--","02:22:00","03:13:14","4,498","4,964"
Running,2021-10-16 17:35:02,false,"Phoenix Running","3.77","473","00:38:14","156","177","4.7","156","180","10:09","8:14","40","43","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:32.53.2","4","0.0","--","--","--","--","--","--","--","00:38:12","00:38:14","1,400","1,435"
Running,2021-10-13 08:05:41,false,"Phoenix Running","3.19","387","00:32:51","152","178","4.1","155","172","10:18","6:31","35","42","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:02.50.3","5","0.0","--","--","--","--","--","--","--","00:32:49","00:33:38","1,385","1,434"
Strength Training,2021-10-12 07:24:09,false,"Strength","0.00","569","01:18:29","129","176","3.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:08.33.5","6","0.0","--","--","--","--","--","--","--","00:00:00","01:18:29","--","--"
Pool Swimming,2021-10-10 17:42:40,false,"Pool Swimming","1,925","388","00:49:30","147","181","3.7","0","0","1:59","1:04","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","771","40","22","0","--","0:00","0.0","0:00","No","00:00.65.2","21","0.0","--","--","--","--","--","--","--","00:38:19","00:49:47","--","--"
Hiking,2021-10-09 10:45:32,false,"Gila County Hiking","4.83","914","02:49:53","113","166","2.4","109","217","35:12","14:18","1,277","1,277","0.42","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","17:49.20.2","5","0.0","--","--","--","--","--","--","--","02:15:01","02:49:53","6,662","7,599"
Hiking,2021-10-06 08:33:16,false,"Cave Creek Hiking","4.03","779","03:00:33","100","148","2.0","110","160","44:47","20:15","565","546","0.33","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:23.96.9","5","0.0","--","--","--","--","--","--","--","02:01:48","03:00:33","2,075","2,567"
Running,2021-10-04 07:50:49,false,"Phoenix Running","2.77","352","00:33:17","138","155","3.3","151","163","12:02","11:01","39","36","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:14.84.1","3","0.0","--","--","--","--","--","--","--","00:33:07","00:33:17","1,401","1,433"
Pool Swimming,2021-09-30 17:37:39,false,"Pool Swimming","1,500","287","00:36:40","140","158","3.3","0","0","2:05","1:42","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","616","41","22","0","--","0:00","0.0","0:00","No","00:05.52.4","16","0.0","--","--","--","--","--","--","--","00:31:14","00:36:58","--","--"
Strength Training,2021-09-27 19:47:15,false,"Strength","0.00","237","00:38:28","112","159","1.7","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","38:27.74","1","0.0","--","--","--","--","--","--","--","00:00:00","00:38:28","--","--"
Running,2021-09-27 08:52:06,false,"Phoenix Running","1.47","193","00:17:27","145","155","3.0","149","156","11:53","10:36","10","13","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:38.48.9","2","0.0","--","--","--","--","--","--","--","00:17:19","00:17:27","1,412","1,433"
Pool Swimming,2021-09-19 18:31:30,false,"Pool Swimming","2,100","303","00:53:05","136","167","3.1","0","0","2:00","0:50","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","846","41","21","0","--","0:00","0.0","0:00","No","00:05.99.1","20","0.0","--","--","--","--","--","--","--","00:00:00","00:54:33","--","--"
Strength Training,2021-09-17 07:38:08,false,"Strength","0.00","352","01:07:47","106","152","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:07:47.48.6","1","0.0","--","--","--","--","--","--","--","00:00:00","01:07:47","--","--"
Pool Swimming,2021-09-16 07:37:24,false,"Pool Swimming","1,850","371","00:46:58","144","171","3.5","0","0","2:08","1:25","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","858","45","24","0","--","0:00","0.0","0:00","No","00:05.85.5","15","0.0","--","--","--","--","--","--","--","00:00:00","00:47:16","--","--"
Running,2021-09-13 09:55:31,false,"Marquette Running","2.57","313","00:30:02","137","158","3.3","152","214","11:41","8:09","102","102","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:25.30.4","3","0.0","--","--","--","--","--","--","--","00:30:02","00:35:05","604","708"
Running,2021-09-11 08:39:13,false,"Marquette Running","3.08","357","00:34:29","140","177","3.6","153","170","11:12","7:10","94","95","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:46.77.5","4","0.0","--","--","--","--","--","--","--","00:33:38","00:37:48","604","709"
Strength Training,2021-09-09 07:52:38,false,"Strength","0.00","285","01:17:15","91","136","1.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:17:15.48","1","0.0","--","--","--","--","--","--","--","00:00:00","01:17:15","--","--"
Running,2021-09-08 07:46:59,false,"Phoenix Running","2.71","350","00:30:21","153","176","4.0","155","167","11:12","7:32","33","27","0.93","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","07:53.67","3","0.0","--","--","--","--","--","--","--","00:30:15","00:30:21","1,362","1,445"
Pool Swimming,2021-09-08 07:02:51,false,"Pool Swimming","1,475","259","00:32:44","139","159","3.1","0","0","1:58","0:53","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","706","42","24","0","--","0:00","0.0","0:00","No","00:09.21.1","12","0.0","--","--","--","--","--","--","--","00:00:00","00:38:23","--","--"
Hiking,2021-09-04 19:23:38,false,"Maricopa County Hiking","2.47","315","01:40:05","85","114","1.1","98","160","40:31","17:01","149","144","0.41","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","24:19.75.6","3","0.0","--","--","--","--","--","--","--","00:00:00","01:40:06","2,061","2,212"
Pool Swimming,2021-09-03 08:03:51,false,"Pool Swimming","1,675","307","00:41:22","138","159","3.2","0","0","2:09","1:30","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","732","46","25","0","--","0:00","0.0","0:00","No","00:02.39.1","14","0.0","--","--","--","--","--","--","--","00:00:00","00:43:28","--","--"
Running,2021-09-02 07:12:55,false,"Phoenix Running","2.90","359","00:35:47","136","156","3.3","152","176","12:20","10:18","42","39","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:05.69.5","3","0.0","--","--","--","--","--","--","--","00:34:51","00:35:47","1,401","1,433"
Strength Training,2021-09-01 07:23:27,false,"Strength","0.00","450","01:21:47","114","142","1.8","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","36","8","0:00","0.0","0:00","No","00:02.96.7","15","0.0","--","--","--","--","--","--","--","00:00:00","01:21:47","--","--"
Pool Swimming,2021-08-31 07:07:47,false,"Pool Swimming","850","147","00:23:44","127","143","2.1","0","0","2:03","1:03","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","343","42","22","0","--","0:00","0.0","0:00","No","00:00.94.1","13","0.0","--","--","--","--","--","--","--","00:00:00","00:24:01","--","--"
Running,2021-08-30 07:57:48,false,"Phoenix Running","2.36","298","00:27:39","148","177","3.6","151","202","11:42","8:56","33","33","0.91","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:15.19.7","3","0.0","--","--","--","--","--","--","--","00:27:39","00:27:39","1,401","1,434"
Pool Swimming,2021-08-23 07:47:20,false,"Pool Swimming","1,475","253","00:40:04","131","168","2.7","0","0","2:11","1:04","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","742","45","23","0","--","0:00","0.0","0:00","No","00:01.72.8","15","0.0","--","--","--","--","--","--","--","00:00:00","00:42:31","--","--"
Other,2021-08-20 07:32:32,false,"Phoenix Walk","1.73","187","00:38:10","103","134","1.3","104","125","2.7","4.3","18","18","0.70","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","16:11.32.8","2","0.0","--","--","--","--","--","--","--","00:00:00","00:38:10","1,412","1,433"
Running,2021-08-18 13:38:36,false,"Phoenix Running","2.22","262","00:23:05","158","186","3.8","151","178","10:23","6:04","18","23","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:16.54.9","4","0.0","--","--","--","--","--","--","--","00:22:30","00:23:05","1,407","1,434"
Pool Swimming,2021-08-18 06:46:08,false,"Pool Swimming","1,075","186","00:25:00","130","146","2.5","0","0","2:11","0:59","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","549","46","23","0","--","0:00","0.0","0:00","No","01:29.01.4","5","0.0","--","--","--","--","--","--","--","00:00:00","00:30:09","--","--"
Running,2021-08-16 07:59:02,false,"Phoenix Running","1.75","225","00:21:30","145","173","3.4","150","158","12:17","11:22","21","21","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:29.94","2","0.0","--","--","--","--","--","--","--","00:21:29","00:21:30","1,407","1,433"
Pool Swimming,2021-08-12 07:05:16,false,"Pool Swimming","1,175","191","00:34:46","125","147","2.3","0","0","2:25","1:52","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","578","48","20","0","--","0:00","0.0","0:00","No","02:43.13.2","8","0.0","--","--","--","--","--","--","--","00:00:00","00:42:36","--","--"
Other,2021-08-10 17:32:20,false,"Phoenix Walk","4.35","592","02:03:55","109","169","2.6","101","160","2.1","4.8","794","799","0.56","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:10.25.7","5","0.0","--","--","--","--","--","--","--","01:49:48","02:03:55","1,368","2,064"
Other,2021-08-10 07:51:21,false,"Phoenix Walk","4.00","345","01:21:10","103","157","1.3","106","145","3.0","5.4","60","60","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:07.69.7","5","0.0","--","--","--","--","--","--","--","01:18:14","01:21:10","1,385","1,433"
Pool Swimming,2021-08-09 17:48:33,false,"Pool Swimming","--","--","00:00:13.2","63","64","--","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","--","--","0","--","0:00","0.0","0:00","No","00:13.15.9","1","0.0","--","--","--","--","--","--","--","00:00:00","00:00:25.8","--","--"
Pool Swimming,2021-08-09 06:55:38,false,"Pool Swimming","1,350","229","00:32:03","135","157","3.0","0","0","2:00","0:56","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","617","41","23","0","--","0:00","0.0","0:00","No","05:28.72","3","0.0","--","--","--","--","--","--","--","00:26:58","00:37:30","--","--"
Pool Swimming,2021-08-09 06:55:38,false,"Pool Swimming","1,350","302","00:32:03","0","0","--","0","0","2:00","0:56","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","617","41","23","0","--","0:00","0.0","0:00","No","05:28.72","3","0.0","--","--","--","--","--","--","--","00:26:58","00:37:30","--","--"
Pool Swimming,2021-08-06 19:37:06,false,"Pool Swimming","1,375","266","00:32:17","141","171","3.1","0","0","2:14","1:15","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","708","46","23","0","--","0:00","0.0","0:00","No","00:02.01.3","12","0.0","--","--","--","--","--","--","--","00:30:43","00:44:12","--","--"
Running,2021-08-05 07:01:33,false,"Phoenix Running","4.32","592","00:53:52","157","179","4.5","146","162","12:28","10:01","46","56","0.88","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:04.66.8","7","0.0","--","--","--","--","--","--","--","00:53:35","00:53:52","1,374","1,434"
Pool Swimming,2021-08-03 06:34:05,false,"Pool Swimming","1,200","236","00:30:26","136","175","3.0","0","0","2:16","0:51","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","584","46","21","0","--","0:00","0.0","0:00","No","01:25.36.4","7","0.0","--","--","--","--","--","--","--","00:27:15","00:35:41","--","--"
Other,2021-08-02 07:04:34,false,"Phoenix Walk","3.00","262","01:03:07","98","124","1.2","104","123","2.9","4.3","33","30","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","19:06.23.9","3","0.0","--","--","--","--","--","--","--","01:00:59","01:05:10","1,400","1,437"
Strength Training,2021-08-01 17:52:19,false,"Strength","0.00","298","01:32:04","86","141","1.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:05.66.3","3","0.0","--","--","--","--","--","--","--","00:00:00","01:32:04","--","--"
Pool Swimming,2021-07-29 14:28:09,false,"Pool Swimming","1,300","292","00:30:01","0","0","--","0","0","1:58","0:54","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","592","41","23","0","--","0:00","0.0","0:00","No","03:40.32.6","6","0.0","--","--","--","--","--","--","--","00:00:00","00:41:48","--","--"
Other,2021-07-28 07:03:44,false,"Phoenix Walk","2.52","234","00:53:44","100","129","1.2","104","122","2.8","3.8","30","23","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:58.22.6","3","0.0","--","--","--","--","--","--","--","00:51:34","00:53:44","1,401","1,437"
Running,2021-07-27 07:34:41,false,"Phoenix Running","3.17","431","00:39:30","149","170","3.8","150","185","12:27","6:32","43","33","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:01.98.4","4","0.0","--","--","--","--","--","--","--","00:39:07","00:39:30","1,385","1,432"
Running,2021-07-22 07:51:35,false,"Phoenix Running","2.42","316","00:30:15","146","167","3.2","150","158","12:32","11:27","25","19","0.86","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:16.22.7","3","0.0","--","--","--","--","--","--","--","00:30:14","00:30:15","1,412","1,434"
Strength Training,2021-07-15 08:03:15,false,"Strength","0.00","193","00:27:57","113","143","2.0","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","27:57.14.5","1","0.0","--","--","--","--","--","--","--","00:00:00","00:27:57","--","--"
