Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-10-26 07:24:50,false,"Phoenix Running","4.22","692","01:00:32","156","188","4.3","140","249","14:21","7:56","779","800","0.79","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","03:03.20","5","0.0","--","--","--","00:57:13","01:00:32","1,367","2,058"
Pool Swimming,2021-10-24 15:31:22,false,"Pool Swimming","1,525","300","00:37:16","141","164","3.2","--","--","2:06","1:40","--","--","0.00","0.0","0.0","0.0","0.0","0.0","675","43","21","--","--","0:00","0.0","0:00","No","00:09.60","11","0.0","--","--","--","00:31:59","00:38:37","--","--"
Strength Training,2021-10-23 19:19:37,false,"Strength","0.00","139","00:48:52","101","112","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","48:51.94","1","0.0","--","--","--","00:00:00","00:48:52","--","--"
Running,2021-10-21 17:33:34,false,"Phoenix Running","4.30","573","00:52:37","143","180","3.6","151","240","12:14","10:29","49","56","0.87","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","03:31.16","5","0.0","--","--","--","00:51:24","00:52:37","1,401","1,437"
Strength Training,2021-10-20 19:23:35,false,"Strength","0.00","335","00:49:50","114","162","2.1","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","05:30.47","4","0.0","--","--","--","00:00:00","00:49:50","--","--"
Hiking,2021-10-18 13:44:34,false,"Yavapai County Hiking","5.60","773","03:13:10","95","147","1.4","100","160","34:31","17:51","686","692","0.47","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","16:04.11","6","0.0","--","--","--","02:22:00","03:13:14","4,498","4,964"
Running,2021-10-16 17:35:02,false,"Phoenix Running","3.77","473","00:38:14","156","177","4.7","156","180","10:09","8:14","40","43","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:32.53","4","0.0","--","--","--","00:38:12","00:38:14","1,400","1,435"
Running,2021-10-13 08:05:41,false,"Phoenix Running","3.19","387","00:32:51","152","178","4.1","155","172","10:18","6:31","35","42","1.01","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:02.50","5","0.0","--","--","--","00:32:49","00:33:38","1,385","1,434"
Strength Training,2021-10-12 07:24:09,false,"Strength","0.00","569","01:18:29","129","176","3.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","04:08.34","6","0.0","--","--","--","00:00:00","01:18:29","--","--"
Pool Swimming,2021-10-10 17:42:40,false,"Pool Swimming","1,925","388","00:49:30","147","181","3.7","--","--","1:59","1:04","--","--","0.00","0.0","0.0","0.0","0.0","0.0","771","40","22","--","--","0:00","0.0","0:00","No","00:00.65","21","0.0","--","--","--","00:38:19","00:49:47","--","--"
Hiking,2021-10-09 10:45:32,false,"Gila County Hiking","4.83","914","02:49:53","113","166","2.4","109","217","35:12","14:18","1,277","1,277","0.42","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","17:49.20","5","0.0","--","--","--","02:15:01","02:49:53","6,662","7,599"
Hiking,2021-10-06 08:33:16,false,"Cave Creek Hiking","4.03","779","03:00:33","100","148","2.0","110","160","44:47","20:15","565","546","0.33","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:23.97","5","0.0","--","--","--","02:01:48","03:00:33","2,075","2,567"
Running,2021-10-04 07:50:49,false,"Phoenix Running","2.77","352","00:33:17","138","155","3.3","151","163","12:02","11:01","39","36","0.89","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","09:14.84","3","0.0","--","--","--","00:33:07","00:33:17","1,401","1,433"
Pool Swimming,2021-09-30 17:37:39,false,"Pool Swimming","1,500","287","00:36:40","140","158","3.3","--","--","2:05","1:42","--","--","0.00","0.0","0.0","0.0","0.0","0.0","616","41","22","--","--","0:00","0.0","0:00","No","00:05.52","16","0.0","--","--","--","00:31:14","00:36:58","--","--"
Strength Training,2021-09-27 19:47:15,false,"Strength","0.00","237","00:38:28","112","159","1.7","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","38:27.74","1","0.0","--","--","--","00:00:00","00:38:28","--","--"
Running,2021-09-27 08:52:06,false,"Phoenix Running","1.47","193","00:17:27","145","155","3.0","149","156","11:53","10:36","10","13","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","05:38.49","2","0.0","--","--","--","00:17:19","00:17:27","1,412","1,433"
Pool Swimming,2021-09-19 18:31:30,false,"Pool Swimming","2,100","303","00:53:05","136","167","3.1","--","--","2:00","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","846","41","21","--","--","0:00","0.0","0:00","No","00:05.99","20","0.0","--","--","--","00:00:00","00:54:33","--","--"
Strength Training,2021-09-17 07:38:08,false,"Strength","0.00","352","01:07:47","106","152","2.0","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:07:47.49","1","0.0","--","--","--","00:00:00","01:07:47","--","--"
Pool Swimming,2021-09-16 07:37:24,false,"Pool Swimming","1,850","371","00:46:58","144","171","3.5","--","--","2:08","1:25","--","--","0.00","0.0","0.0","0.0","0.0","0.0","858","45","24","--","--","0:00","0.0","0:00","No","00:05.86","15","0.0","--","--","--","00:00:00","00:47:16","--","--"
Running,2021-09-13 09:55:31,false,"Marquette Running","2.57","313","00:30:02","137","158","3.3","152","214","11:41","8:09","102","102","0.91","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","07:25.30","3","0.0","--","--","--","00:00:00","00:35:05","604","708"
Running,2021-09-11 08:39:13,false,"Marquette Running","3.08","357","00:34:29","140","177","3.6","153","170","11:12","7:10","94","95","0.94","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","00:46.78","4","0.0","--","--","--","00:00:00","00:37:48","604","709"
Strength Training,2021-09-09 07:52:38,false,"Strength","0.00","285","01:17:15","91","136","1.2","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0:00","0.0","0:00","No","01:17:15.48","1","0.0","--","--","--","00:00:00","01:17:15","--","--"
