Time,Weight,Change,BMI,Body Fat,Skeletal Muscle Mass,Bone Mass,Body Water
" Jul 11, 2021",,,,,,,
6:19 AM,176.2 lbs,1.5 lbs,23.9,22.1 %,74.2 lbs,11.1 lbs,56.9 %
" Jul 10, 2021",,,,,,,
6:06 AM,174.7 lbs,1.2 lbs,23.7,21.9 %,73.8 lbs,11.0 lbs,57.0 %
" Jul 9, 2021",,,,,,,
6:29 AM,175.9 lbs,0.3 lbs,23.8,21.7 %,74.1 lbs,11.1 lbs,57.1 %
" Jul 8, 2021",,,,,,,
5:17 AM,175.6 lbs,0.3 lbs,23.8,21.7 %,74.0 lbs,11.1 lbs,57.2 %
" Jul 7, 2021",,,,,,,
5:59 AM,175.9 lbs,1.4 lbs,23.8,22 %,74.1 lbs,11.1 lbs,57.0 %
" Jul 5, 2021",,,,,,,
7:25 AM,174.5 lbs,1.1 lbs,23.6,22 %,73.7 lbs,10.9 lbs,56.9 %
" Jul 4, 2021",,,,,,,
6:30 AM,175.6 lbs,1.0 lbs,23.8,23 %,74.0 lbs,10.8 lbs,56.2 %
" Jul 3, 2021",,,,,,,
6:53 AM,174.6 lbs,1.0 lbs,23.6,21.9 %,73.8 lbs,11.0 lbs,57.0 %
" Jun 30, 2021",,,,,,,
6:23 AM,173.6 lbs,5.0 lbs,23.5,21.6 %,73.5 lbs,10.9 lbs,57.2 %
" Jun 28, 2021",,,,,,,
6:30 AM,178.6 lbs,1.6 lbs,24.2,21.6 %,74.8 lbs,11.4 lbs,57.3 %
" Jun 26, 2021",,,,,,,
6:52 AM,177.0 lbs,0.7 lbs,24,23 %,74.4 lbs,11.0 lbs,56.2 %
" Jun 24, 2021",,,,,,,
6:57 AM,176.3 lbs,0.1 lbs,23.9,22 %,74.2 lbs,11.1 lbs,57.0 %
" Jun 23, 2021",,,,,,,
6:02 AM,176.2 lbs,1.1 lbs,23.9,21.8 %,74.2 lbs,11.1 lbs,57.1 %
" Jun 22, 2021",,,,,,,
5:20 AM,175.1 lbs,0.2 lbs,23.7,21.6 %,73.9 lbs,11.1 lbs,57.2 %
" Jun 21, 2021",,,,,,,
