Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Reps,Total Sets,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Walking,2021-03-14 08:19:29,false,"Walking","7.44","1,486","03:44:16","106","164","--","--","--","30:08","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","3:44:16","0:00","0.0","0:00","No","12:50.58","8","0.0"
Walking,2021-03-07 08:53:12,false,"Walking","7.84","1,302","03:27:15","103","154","--","--","--","26:26","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","3:27:15","0:00","0.0","0:00","No","19:36.98","8","0.0"
Walking,2021-03-05 08:08:40,false,"Walking","2.98","363","01:00:28","101","128","--","--","--","20:17","7:09","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:00:28","0:00","0.0","0:00","No","19:29.00","3","0.0"
Running,2021-03-05 07:39:46,false,"Running","2.96","311","00:28:08","141","167","--","--","--","9:30","4:57","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","28:08","0:00","0.0","0:00","No","28:08.08","1","0.0"
Running,2021-03-02 08:22:32,false,"Running","3.13","360","00:27:44","156","177","--","--","--","8:51","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","27:44","0:00","0.0","0:00","No","27:44.02","1","0.0"
Walking,2021-02-25 07:26:34,false,"Walking","1.86","645","01:17:57","119","161","--","--","--","41:51","6:26","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","1:17:57","0:00","0.0","0:00","No","20:08.54","2","0.0"
Cardio,2021-02-21 08:23:54,false,"Cardio","0.00","942","02:31:33","103","154","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","2:31:33","0:00","0.0","0:00","No","02:31:32.76","1","0.0"
Running,2021-02-15 08:39:33,false,"Running","2.13","213","00:21:17","134","146","--","--","--","10:00","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","21:17","0:00","0.0","0:00","No","21:17.01","1","0.0"
Running,2021-02-08 07:51:14,false,"Running","3.46","356","00:30:41","147","158","--","--","--","8:52","1:14","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","30:41","0:00","0.0","0:00","No","30:41.02","1","0.0"
Running,2021-02-02 16:48:34,false,"Running","1.60","224","00:19:18","145","180","--","--","--","12:06","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","19:18","0:00","0.0","0:00","No","19:17.68","1","0.0"
Running,2021-01-25 08:38:47,false,"Running","2.77","280","00:23:57","146","174","--","--","--","8:39","1:21","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","23:57","0:00","0.0","0:00","No","23:56.79","1","0.0"
Cardio,2021-01-17 08:19:50,false,"Cardio","0.00","2,047","04:11:18","118","125","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","4:11:18","0:00","0.0","0:00","No","04:11:18.41","1","0.0"
Running,2021-01-14 08:33:17,false,"Running","2.03","221","00:23:32","128","154","--","--","--","11:35","1:19","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","23:32","0:00","0.0","0:00","No","23:32.00","1","0.0"
Running,2021-01-06 16:58:03,false,"Running","3.85","429","00:43:07","132","188","--","--","--","11:12","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","43:07","0:00","0.0","0:00","No","43:06.99","1","0.0"
Running,2021-01-02 09:02:20,false,"Running","4.04","499","00:42:44","146","179","--","--","--","10:35","1:07","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","42:44","0:00","0.0","0:00","No","42:43.81","1","0.0"
Walking,2020-12-31 08:00:09,false,"Walking","5.36","813","02:30:44","96","145","--","--","--","28:07","6:26","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","2:30:44","0:00","0.0","0:00","No","13:13.60","6","0.0"
Running,2020-12-27 09:28:08,false,"Running","2.84","342","00:29:00","147","182","--","--","--","10:12","1:44","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","29:00","0:00","0.0","0:00","No","28:59.51","1","0.0"
Cardio,2020-12-24 07:19:50,false,"Cardio","0.00","1,036","02:17:38","113","153","--","--","--","--","--","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","2:17:38","0:00","0.0","0:00","No","02:17:38.42","1","0.0"
Running,2020-09-08 08:00:37,false,"Running","4.29","479","00:41:31","145","174","--","--","--","9:40","5:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","--","--","41:31","0:00","0.0","0:00","No","41:30.57","1","0.0"
